image	SoulcaliburVI.exe
image_base	0x140000000
start_rva	end_rva	name
0x002DBC60	0x002DC378	LuxBattle_PerFrameTick
0x0037E900	0x0037EA07	LuxBattle_InteractiveReplay_Reset
0x003841E0	0x003844EF	LuxBattle_HgCpuDirect_ExecMoveChangeAndPost
0x003F0680	0x003F071D	GetCurrentInputForFrameInputLogSlot
0x003F2AB0	0x003F2B59	UpdateFrameInputLogCacheLocalMode
0x003F8370	0x003F8377	ALuxBattleManager_SetMoveState
0x003FDF30	0x003FDF9F	ProcessFrameInputLogCurrentInputRefresh
0x00435C20	0x00435D8C	ALuxBattleReplayPlayer_Tick_CopyRoundResetSnapshotAndSetMoveState4
0x0045FDC0	0x0045FE11	LuxResolveBattleManagerFromComponent
