cid,character,route_kind,quality_status,quality_score,quality_grade,total_back_distance,back_distance_f4,back_distance_f8,back_distance_f12,back_distance_f16,first_frame_8_units,first_frame_16_units,first_frame_30_units,recovery_estimate_status,earliest_guard_or_neutral_frame,earliest_attack_cancel_frame,plain_movement,has_attack_cell,root_decode_confidence,src_slot,dst_slot,animation_hex,selection_reason,reason
001,Mitsurugi,trusted_basic,rankable_static_distance,44.389,B,0.18000000854954123,0.027000001282431185,0.04800000227987766,0.12700000603217632,0.16700000793207437,,,,unknown_from_static_bytecode,,,True,False,high,261,263,028F,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot; decoded with confirmed channel stream DAT_143e83c00
002,Seong Mi-na,unresolved,unranked_static_distance_unavailable,,Unranked,,0.18400000873953104,0.452000021468848,0.7130000338656828,0.9180000436026603,,,,unknown_from_static_bytecode,,,False,True,high,258,259,00FE,offensive cells exist and no static return/recovery frame is known,offensive cells exist and no static return/recovery frame is known; decoded with confirmed channel stream DAT_143e83c00; not ranked because route trust or root motion confidence is insufficient
003,Taki,unresolved,unranked_static_distance_unavailable,,Unranked,,0.1110000052722171,0.25800001225434244,0.4150000197114423,0.6350000301608816,,,,unknown_from_static_bytecode,,,False,True,high,273,274,01AC,offensive cells exist and no static return/recovery frame is known,offensive cells exist and no static return/recovery frame is known; decoded with confirmed channel stream DAT_143e83c00; not ranked because route trust or root motion confidence is insufficient
004,Maxi,trusted_basic,rankable_static_distance,40.593,B,0.06900000327732414,0.04800000227987766,0.06600000313483179,0.025000001187436283,0.011000000522471964,,,,unknown_from_static_bytecode,,,True,False,high,266,267,0283,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot; decoded with confirmed channel stream DAT_143e83c00
005,Voldo,unresolved,unranked_static_distance_unavailable,,Unranked,,0.07300000346731395,0.24800001177936792,0.6130000291159377,1.110000052722171,,,,unknown_from_static_bytecode,,,False,True,high,256,257,00F7,offensive cells exist and no static return/recovery frame is known,offensive cells exist and no static return/recovery frame is known; decoded with confirmed channel stream DAT_143e83c00; not ranked because route trust or root motion confidence is insufficient
006,Sophitia,trusted_basic,rankable_static_distance,62.63,A,1.5260000724811107,0.006000000284984708,0.5020000238437206,0.9430000447900966,1.1850000562844798,,,,unknown_from_static_bytecode,,,True,False,high,259,260,015D,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot; decoded with confirmed channel stream DAT_143e83c00
007,Siegfried,trusted_basic,rankable_static_distance,55.13,A,0.8190000389004126,0.026000001234933734,0.10400000493973494,0.23100001097191125,0.39900001895148307,,,,unknown_from_static_bytecode,,,True,False,high,257,258,00CC,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot; decoded with confirmed channel stream DAT_143e83c00
009,Hwang,trusted_basic,rankable_static_distance,50.5,B,0.29700001410674304,0.027000001282431185,0.09000000427477062,0.18800000892952085,0.2670000126818195,,,,unknown_from_static_bytecode,,,True,False,high,265,469,02E1,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot; decoded with confirmed channel stream DAT_143e83c00
00b,Ivy,unresolved,unranked_static_distance_unavailable,,Unranked,,0.24600001168437302,0.6430000305408612,0.9880000469274819,1.159000055049546,,,,unknown_from_static_bytecode,,,False,True,high,261,262,0272,offensive cells exist and no static return/recovery frame is known,offensive cells exist and no static return/recovery frame is known; decoded with confirmed channel stream DAT_143e83c00; not ranked because route trust or root motion confidence is insufficient
00c,Kilik,unresolved,unranked_static_distance_unavailable,,Unranked,,0.10500000498723239,0.308000014629215,0.4190000199014321,0.4760000226087868,,,,unknown_from_static_bytecode,,,False,True,high,272,275,0154,offensive cells exist and no static return/recovery frame is known,offensive cells exist and no static return/recovery frame is known; decoded with confirmed channel stream DAT_143e83c00; not ranked because route trust or root motion confidence is insufficient
