cid,character,movement_type,src_slot,dst_bank,dst_slot,raw_move_id,predicate_text,predicate_kind,source_pc,reason
001,Mitsurugi,sidestep_down_candidate,1440,2,1420,9092,(any:down),direction,454835,cross-bank direction target is audited but not selected until target-bank resolution is implemented
001,Mitsurugi,backstep_candidate,1974,2,1608,9280,(any:back),direction,545133,cross-bank direction target is audited but not selected until target-bank resolution is implemented
001,Mitsurugi,forward_step_candidate,1974,2,1608,9280,(any:forward),direction,545223,cross-bank direction target is audited but not selected until target-bank resolution is implemented
001,Mitsurugi,backstep_candidate,1975,2,2277,9949,(any:back),direction,545657,cross-bank direction target is audited but not selected until target-bank resolution is implemented
001,Mitsurugi,forward_step_candidate,1975,2,2277,9949,(any:forward),direction,545747,cross-bank direction target is audited but not selected until target-bank resolution is implemented
001,Mitsurugi,backstep_candidate,2108,2,2283,9955,(any:back),direction,585868,cross-bank direction target is audited but not selected until target-bank resolution is implemented
001,Mitsurugi,forward_step_candidate,2108,2,2283,9955,(any:forward),direction,585965,cross-bank direction target is audited but not selected until target-bank resolution is implemented
001,Mitsurugi,backstep_candidate,2110,2,2283,9955,(any:back),direction,586429,cross-bank direction target is audited but not selected until target-bank resolution is implemented
001,Mitsurugi,forward_step_candidate,2110,2,2283,9955,(any:forward),direction,586526,cross-bank direction target is audited but not selected until target-bank resolution is implemented
001,Mitsurugi,backstep_candidate,2164,2,2286,9958,(any:back),direction,600700,cross-bank direction target is audited but not selected until target-bank resolution is implemented
001,Mitsurugi,forward_step_candidate,2165,2,2286,9958,(any:forward),direction,601066,cross-bank direction target is audited but not selected until target-bank resolution is implemented
001,Mitsurugi,backstep_candidate,2203,2,2288,9960,(any:back),direction,610894,cross-bank direction target is audited but not selected until target-bank resolution is implemented
001,Mitsurugi,forward_step_candidate,2205,2,2288,9960,(any:forward),direction,611691,cross-bank direction target is audited but not selected until target-bank resolution is implemented
002,Seong Mi-na,sidestep_down_candidate,1415,2,1395,9092,(any:down),direction,443599,cross-bank direction target is audited but not selected until target-bank resolution is implemented
002,Seong Mi-na,backstep_candidate,1949,2,1583,9280,(any:back),direction,533897,cross-bank direction target is audited but not selected until target-bank resolution is implemented
002,Seong Mi-na,forward_step_candidate,1949,2,1583,9280,(any:forward),direction,533987,cross-bank direction target is audited but not selected until target-bank resolution is implemented
002,Seong Mi-na,backstep_candidate,1950,2,2252,9949,(any:back),direction,534421,cross-bank direction target is audited but not selected until target-bank resolution is implemented
002,Seong Mi-na,forward_step_candidate,1950,2,2252,9949,(any:forward),direction,534511,cross-bank direction target is audited but not selected until target-bank resolution is implemented
002,Seong Mi-na,backstep_candidate,2083,2,2258,9955,(any:back),direction,574632,cross-bank direction target is audited but not selected until target-bank resolution is implemented
002,Seong Mi-na,forward_step_candidate,2083,2,2258,9955,(any:forward),direction,574729,cross-bank direction target is audited but not selected until target-bank resolution is implemented
002,Seong Mi-na,backstep_candidate,2085,2,2258,9955,(any:back),direction,575193,cross-bank direction target is audited but not selected until target-bank resolution is implemented
002,Seong Mi-na,forward_step_candidate,2085,2,2258,9955,(any:forward),direction,575290,cross-bank direction target is audited but not selected until target-bank resolution is implemented
002,Seong Mi-na,backstep_candidate,2139,2,2261,9958,(any:back),direction,589464,cross-bank direction target is audited but not selected until target-bank resolution is implemented
002,Seong Mi-na,forward_step_candidate,2140,2,2261,9958,(any:forward),direction,589830,cross-bank direction target is audited but not selected until target-bank resolution is implemented
002,Seong Mi-na,backstep_candidate,2178,2,2263,9960,(any:back),direction,599658,cross-bank direction target is audited but not selected until target-bank resolution is implemented
002,Seong Mi-na,forward_step_candidate,2180,2,2263,9960,(any:forward),direction,600455,cross-bank direction target is audited but not selected until target-bank resolution is implemented
003,Taki,sidestep_down_candidate,1537,2,1517,9092,(any:down),direction,519144,cross-bank direction target is audited but not selected until target-bank resolution is implemented
003,Taki,backstep_candidate,2071,2,1705,9280,(any:back),direction,609442,cross-bank direction target is audited but not selected until target-bank resolution is implemented
003,Taki,forward_step_candidate,2071,2,1705,9280,(any:forward),direction,609532,cross-bank direction target is audited but not selected until target-bank resolution is implemented
003,Taki,backstep_candidate,2072,2,2374,9949,(any:back),direction,609966,cross-bank direction target is audited but not selected until target-bank resolution is implemented
003,Taki,forward_step_candidate,2072,2,2374,9949,(any:forward),direction,610056,cross-bank direction target is audited but not selected until target-bank resolution is implemented
003,Taki,backstep_candidate,2205,2,2380,9955,(any:back),direction,650177,cross-bank direction target is audited but not selected until target-bank resolution is implemented
003,Taki,forward_step_candidate,2205,2,2380,9955,(any:forward),direction,650274,cross-bank direction target is audited but not selected until target-bank resolution is implemented
003,Taki,backstep_candidate,2207,2,2380,9955,(any:back),direction,650738,cross-bank direction target is audited but not selected until target-bank resolution is implemented
003,Taki,forward_step_candidate,2207,2,2380,9955,(any:forward),direction,650835,cross-bank direction target is audited but not selected until target-bank resolution is implemented
003,Taki,backstep_candidate,2261,2,2383,9958,(any:back),direction,665009,cross-bank direction target is audited but not selected until target-bank resolution is implemented
003,Taki,forward_step_candidate,2262,2,2383,9958,(any:forward),direction,665375,cross-bank direction target is audited but not selected until target-bank resolution is implemented
