cid,character,movement_type,src_slot,dst_bank,dst_slot,raw_move_id,target_cid,target_character,target_slot_exists,target_animation_hex,resolution_status,confidence,reason
001,Mitsurugi,sidestep_down_candidate,1440,2,1420,0x2384,001,Mitsurugi,True,0174,resolved_move_bucket,confirmed_static_data,0x2384: bank 2 targets current-character FLuxMoveBank bucket 2
001,Mitsurugi,backstep_candidate,1974,2,1608,0x2440,001,Mitsurugi,True,1490,resolved_move_bucket,confirmed_static_data,0x2440: bank 2 targets current-character FLuxMoveBank bucket 2
001,Mitsurugi,forward_step_candidate,1974,2,1608,0x2440,001,Mitsurugi,True,1490,resolved_move_bucket,confirmed_static_data,0x2440: bank 2 targets current-character FLuxMoveBank bucket 2
001,Mitsurugi,backstep_candidate,1975,2,2277,0x26DD,001,Mitsurugi,True,1255,resolved_move_bucket,confirmed_static_data,0x26DD: bank 2 targets current-character FLuxMoveBank bucket 2
001,Mitsurugi,forward_step_candidate,1975,2,2277,0x26DD,001,Mitsurugi,True,1255,resolved_move_bucket,confirmed_static_data,0x26DD: bank 2 targets current-character FLuxMoveBank bucket 2
001,Mitsurugi,backstep_candidate,2108,2,2283,0x26E3,001,Mitsurugi,True,15DF,resolved_move_bucket,confirmed_static_data,0x26E3: bank 2 targets current-character FLuxMoveBank bucket 2
001,Mitsurugi,forward_step_candidate,2108,2,2283,0x26E3,001,Mitsurugi,True,15DF,resolved_move_bucket,confirmed_static_data,0x26E3: bank 2 targets current-character FLuxMoveBank bucket 2
001,Mitsurugi,backstep_candidate,2110,2,2283,0x26E3,001,Mitsurugi,True,15DF,resolved_move_bucket,confirmed_static_data,0x26E3: bank 2 targets current-character FLuxMoveBank bucket 2
001,Mitsurugi,forward_step_candidate,2110,2,2283,0x26E3,001,Mitsurugi,True,15DF,resolved_move_bucket,confirmed_static_data,0x26E3: bank 2 targets current-character FLuxMoveBank bucket 2
001,Mitsurugi,backstep_candidate,2164,2,2286,0x26E6,001,Mitsurugi,True,1167,resolved_move_bucket,confirmed_static_data,0x26E6: bank 2 targets current-character FLuxMoveBank bucket 2
001,Mitsurugi,forward_step_candidate,2165,2,2286,0x26E6,001,Mitsurugi,True,1167,resolved_move_bucket,confirmed_static_data,0x26E6: bank 2 targets current-character FLuxMoveBank bucket 2
001,Mitsurugi,backstep_candidate,2203,2,2288,0x26E8,001,Mitsurugi,True,1250,resolved_move_bucket,confirmed_static_data,0x26E8: bank 2 targets current-character FLuxMoveBank bucket 2
001,Mitsurugi,forward_step_candidate,2205,2,2288,0x26E8,001,Mitsurugi,True,1250,resolved_move_bucket,confirmed_static_data,0x26E8: bank 2 targets current-character FLuxMoveBank bucket 2
002,Seong Mi-na,sidestep_down_candidate,1415,2,1395,0x2384,002,Seong Mi-na,True,02B6,resolved_move_bucket,confirmed_static_data,0x2384: bank 2 targets current-character FLuxMoveBank bucket 2
002,Seong Mi-na,backstep_candidate,1949,2,1583,0x2440,002,Seong Mi-na,True,1491,resolved_move_bucket,confirmed_static_data,0x2440: bank 2 targets current-character FLuxMoveBank bucket 2
002,Seong Mi-na,forward_step_candidate,1949,2,1583,0x2440,002,Seong Mi-na,True,1491,resolved_move_bucket,confirmed_static_data,0x2440: bank 2 targets current-character FLuxMoveBank bucket 2
