cid,character,src_slot,dst_bank,dst_slot,movement_type,predicate_kind,predicate_text,predicate_args,raw_move_id,source_pc,callcond_idx,dst_animation_hex,dst_animation_length,dst_has_attack_cell,dst_mot_status,dst_mot_size,dst_mot_sha1,distance_tier,confidence,score,reason
001,Mitsurugi,161,0,164,eight_way_or_ambiguous,direction,(any:back|forward|down),0x0006 0x000B,0x00A4,0x3F52E,0x07,0204,100.0,False,character_motion_section,1816,782a9447af8a66ab3cffc14f6548191952e51103,shared_movement_asset_no_exact_distance,inferred_static_low,72,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate is directional but ambiguous; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,168,0,385,forward_step_candidate,direction,(any:forward),0x0005 0x0002,0x0181,0x40714,0x07,0203,100.0,True,character_motion_section,3880,eb6309ed12a4f9ec6c58221c616989e742b0170e,relative_authored_difference_no_exact_distance,inferred_static,95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,201,0,319,unknown_directional,direction,(motion ?),0x0005,0x013F,0x4695D,0x07,02EC,100.0,False,character_motion_section,6272,74af7d98b242df19f9826732d3180403670c9c69,shared_movement_asset_no_exact_distance,inferred_static_low,72,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate is directional but ambiguous; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,203,0,209,unknown_directional,direction,(motion ?),0x0005,0x00D1,0x46ACF,0x07,0306,100.0,False,character_motion_section,16336,e76ebb07376f87596bb8dd870a9c4758b7b2908d,relative_authored_difference_no_exact_distance,inferred_static_low,72,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate is directional but ambiguous; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,237,0,306,unknown_directional,direction,(motion ?),0x0005,0x0132,0x48A2E,0x07,0270,100.0,True,character_motion_section,9120,b4c527280f6acf07561aa57b321e952e1f4e2b12,shared_movement_asset_no_exact_distance,inferred_static_low,72,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate is directional but ambiguous; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,258,0,259,backstep_candidate,direction,(any:back),0x0006 0x0001,0x0103,0x49A5D,0x07,0318,100.0,True,character_motion_section,8536,ef0de89d531826d6c9fcf16c60ef0e7276adba31,relative_authored_difference_no_exact_distance,inferred_static,95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,261,0,263,backstep_candidate,direction,(any:back),0x0020 0x0001 0x000E,0x0107,0x49EED,0x07,028F,100.0,False,character_motion_section,3712,a948cb50012034d27b0e4d01cfc424f5d936300a,relative_authored_difference_no_exact_distance,inferred_static,95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,268,0,269,backstep_candidate,direction,(any:back),0x0020 0x0001 0x000F,0x010D,0x4ADE9,0x07,01D4,100.0,False,character_motion_section,3008,f7b23125f3fed4786e12935490b2db1232f5a246,relative_authored_difference_no_exact_distance,inferred_static,95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,271,0,272,forward_step_candidate,direction,(any:forward),0x0006 0x0002,0x0110,0x4B416,0x07,02EC,100.0,False,character_motion_section,6272,74af7d98b242df19f9826732d3180403670c9c69,shared_movement_asset_no_exact_distance,inferred_static,95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,271,0,273,forward_step_candidate,direction,(any:forward),0x0020 0x0002 0x000F,0x0111,0x4B449,0x07,00A5,100.0,False,character_motion_section,3008,b7ad6b099cec93438bd4b4aafc2b479fed164a25,relative_authored_difference_no_exact_distance,inferred_static,95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,280,0,436,forward_step_candidate,direction,(any:forward),0x0020 0x0002 0x0019,0x01B4,0x4C33E,0x07,01BF,100.0,False,character_motion_section,5784,ee738f8455e3ff58439081f1a3b717dfdcca8844,shared_movement_asset_no_exact_distance,inferred_static,95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,298,0,301,forward_step_candidate,direction,(any:forward),0x0020 0x0002 0x000F,0x012D,0x4EB98,0x07,00A5,100.0,False,character_motion_section,3008,b7ad6b099cec93438bd4b4aafc2b479fed164a25,relative_authored_difference_no_exact_distance,inferred_static,95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,300,0,302,forward_step_candidate,direction,(any:forward),0x0020 0x0002 0x000F,0x012E,0x4EECA,0x07,00A5,100.0,False,character_motion_section,3008,b7ad6b099cec93438bd4b4aafc2b479fed164a25,relative_authored_difference_no_exact_distance,inferred_static,95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,300,0,303,forward_step_candidate,direction,(any:forward),0x0006 0x0002,0x012F,0x4EEFA,0x07,02D6,100.0,True,character_motion_section,7424,d3d9dcff115fb70fd0dc940a205f7cd094075ba3,relative_authored_difference_no_exact_distance,inferred_static,95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,314,0,315,forward_diagonal,direction,(forward+up),0x0005 0x0600,0x013B,0x50B7B,0x07,0191,100.0,True,character_motion_section,5952,c5d1f943e31285c1f3708e6d9027bb3972e688e4,relative_authored_difference_no_exact_distance,inferred_static,88,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to diagonal movement; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,361,0,362,backstep_candidate,direction,(any:back),0x0020 0x0001 0x0013,0x016A,0x56D20,0x07,01D6,100.0,False,character_motion_section,3472,745c07dfdddd9a5392c27e4c7ca5d8625f17d12c,relative_authored_difference_no_exact_distance,inferred_static,95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,363,0,366,forward_step_candidate,direction,(any:forward),0x0020 0x0002 0x0016,0x016E,0x57134,0x07,01D5,100.0,False,character_motion_section,3984,77b86d56b2f20c0b6d739ccfa912c22b4d3ad070,relative_authored_difference_no_exact_distance,inferred_static,95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,372,0,374,backstep_candidate,direction,(any:back),0x0020 0x0001 0x000F,0x0176,0x58349,0x07,01D4,100.0,False,character_motion_section,3008,f7b23125f3fed4786e12935490b2db1232f5a246,relative_authored_difference_no_exact_distance,inferred_static,95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,374,0,463,eight_way_or_ambiguous,direction,(back+forward+up+down;any:back|forward|up|down),0x0005 0x7FFF,0x01CF,0x58690,0x07,01C1,100.0,False,character_motion_section,2632,7879b1c24320df7677252300b411d8bbbc1e5ce9,relative_authored_difference_no_exact_distance,inferred_static_low,72,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate is directional but ambiguous; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,400,0,401,forward_step_candidate,direction,(any:forward),0x0020 0x0002 0x0016,0x0191,0x5BAB3,0x07,016F,100.0,True,character_motion_section,5072,1d17e213a7282165877118f128cdfc1e05e993fb,relative_authored_difference_no_exact_distance,inferred_static,95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,402,0,403,forward_step_candidate,direction,(any:forward),0x0020 0x0002 0x0016,0x0193,0x5BE33,0x07,016F,100.0,True,character_motion_section,5072,1d17e213a7282165877118f128cdfc1e05e993fb,relative_authored_difference_no_exact_distance,inferred_static,95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,404,0,405,sidestep_up_candidate,direction,(any:up),0x0020 0x0004 0x000C,0x0195,0x5C0D1,0x07,0294,100.0,True,character_motion_section,6128,89950823163b035ca8541400f5d3454ff42e556f,relative_authored_difference_no_exact_distance,inferred_static,95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,406,0,423,sidestep_up_candidate,direction,(any:up),0x0006 0x0004,0x01A7,0x5C5CB,0x07,0316,100.0,True,character_motion_section,7184,edbe1abd9c02864225c7f0c353e2be45f992d597,relative_authored_difference_no_exact_distance,inferred_static,95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,406,0,422,forward_step_candidate,direction,(any:forward),0x0006 0x0002,0x01A6,0x5C5E3,0x07,02D0,100.0,True,character_motion_section,7600,d68d6a6e5190455888dc2bcf0d8ad4591bcbb7d6,relative_authored_difference_no_exact_distance,inferred_static,95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,406,0,418,backstep_candidate,direction,(any:back),0x0006 0x0001,0x01A2,0x5C5FB,0x07,02DE,100.0,True,character_motion_section,5664,7f1c1c4422cd90a9bf7fc91b02220e2c26c03389,relative_authored_difference_no_exact_distance,inferred_static,95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,406,0,428,sidestep_down_candidate,direction,(any:down),0x0006 0x0008,0x01AC,0x5C62B,0x07,01AF,100.0,False,character_motion_section,3936,904aa5c871e34f73346c02aa785930790cb9584c,relative_authored_difference_no_exact_distance,inferred_static,95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
