cid,character,movement_type,src_slot,dst_slot,frame,edge_dst_bank,edge_dst_slot,predicate_text,recovery_role,dst_cell_role_summary,confidence,reason
001,Mitsurugi,backstep_candidate,261,263,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,372,374,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,418,419,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,406,418,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,413,418,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,414,418,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,415,418,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,416,418,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,418,418,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,418,420,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,418,421,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,1974,1608,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,268,269,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,361,362,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,474,476,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,258,259,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,465,474,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,474,475,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,1975,2277,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,2108,2283,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,2110,2283,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,2164,2286,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,backstep_candidate,2203,2288,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,eight_way_or_ambiguous,161,164,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,eight_way_or_ambiguous,374,463,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,eight_way_or_ambiguous,406,424,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,eight_way_or_ambiguous,413,424,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,eight_way_or_ambiguous,414,424,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,eight_way_or_ambiguous,415,424,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,eight_way_or_ambiguous,416,424,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,eight_way_or_ambiguous,418,424,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,eight_way_or_ambiguous,439,436,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,eight_way_or_ambiguous,2885,424,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,eight_way_or_ambiguous,2886,424,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,eight_way_or_ambiguous,424,425,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,eight_way_or_ambiguous,424,425,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,eight_way_or_ambiguous,2889,456,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,eight_way_or_ambiguous,2891,456,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_diagonal,406,427,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_diagonal,413,427,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_diagonal,414,427,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_diagonal,415,427,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_diagonal,416,427,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_diagonal,418,427,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_diagonal,314,315,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_diagonal,2885,427,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_diagonal,2886,427,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_diagonal,2889,462,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_diagonal,2891,462,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,363,366,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,447,451,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,406,422,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,413,422,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,414,422,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,415,422,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,416,422,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,418,418,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,418,423,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,447,448,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,1974,1608,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,168,385,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,271,272,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,271,273,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,280,436,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,298,301,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,300,302,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,300,303,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,400,401,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,402,403,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,454,455,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,2885,418,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,2885,423,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,2886,418,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,2886,423,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,2889,446,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,2889,454,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,2891,446,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,2891,454,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,2892,396,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,2892,404,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,1975,2277,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,2108,2283,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,2110,2283,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,2165,2286,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,forward_step_candidate,2205,2288,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,406,428,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,406,433,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,410,433,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,411,433,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,412,433,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,413,428,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,414,428,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,415,428,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,416,428,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,417,433,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,418,428,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,447,463,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,407,433,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,420,433,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,421,433,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,451,433,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,462,433,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,469,6,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,1440,1420,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,2556,469,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,2556,469,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,2885,428,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,2887,437,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,2889,463,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,2893,396,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_down_candidate,2893,400,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_up_candidate,406,423,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_up_candidate,413,423,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_up_candidate,414,423,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_up_candidate,415,423,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_up_candidate,416,423,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
001,Mitsurugi,sidestep_up_candidate,418,422,,,,,unknown_from_static_bytecode,,unknown,no static frame edges found
