section,character,movement_type,field,csv_value,rendered_value,status
trusted_basic_backsteps,Xianghua,backstep_candidate,distance_f4,0.306,0.306,match
trusted_basic_backsteps,Xianghua,backstep_candidate,distance_f8,0.562,0.562,match
trusted_basic_backsteps,Xianghua,backstep_candidate,distance_f12,0.655,0.655,match
trusted_basic_backsteps,Xianghua,backstep_candidate,distance_f16,0.705,0.705,match
trusted_basic_backsteps,Xianghua,backstep_candidate,total_distance,0.826,0.826,match
trusted_basic_backsteps,Sophitia,backstep_candidate,distance_f4,0.006,0.006,match
trusted_basic_backsteps,Sophitia,backstep_candidate,distance_f8,0.502,0.502,match
trusted_basic_backsteps,Sophitia,backstep_candidate,distance_f12,0.943,0.943,match
trusted_basic_backsteps,Sophitia,backstep_candidate,distance_f16,1.185,1.185,match
trusted_basic_backsteps,Sophitia,backstep_candidate,total_distance,1.526,1.526,match
trusted_basic_backsteps,Nightmare,backstep_candidate,distance_f4,0.026,0.026,match
trusted_basic_backsteps,Nightmare,backstep_candidate,distance_f8,0.104,0.104,match
trusted_basic_backsteps,Nightmare,backstep_candidate,distance_f12,0.231,0.231,match
trusted_basic_backsteps,Nightmare,backstep_candidate,distance_f16,0.399,0.399,match
trusted_basic_backsteps,Nightmare,backstep_candidate,total_distance,0.819,0.819,match
trusted_basic_backsteps,Siegfried,backstep_candidate,distance_f4,0.026,0.026,match
trusted_basic_backsteps,Siegfried,backstep_candidate,distance_f8,0.104,0.104,match
trusted_basic_backsteps,Siegfried,backstep_candidate,distance_f12,0.231,0.231,match
trusted_basic_backsteps,Siegfried,backstep_candidate,distance_f16,0.399,0.399,match
trusted_basic_backsteps,Siegfried,backstep_candidate,total_distance,0.819,0.819,match
trusted_basic_backsteps,Hwang,backstep_candidate,distance_f4,0.027,0.027,match
trusted_basic_backsteps,Hwang,backstep_candidate,distance_f8,0.090,0.090,match
trusted_basic_backsteps,Hwang,backstep_candidate,distance_f12,0.188,0.188,match
trusted_basic_backsteps,Hwang,backstep_candidate,distance_f16,0.267,0.267,match
trusted_basic_backsteps,Hwang,backstep_candidate,total_distance,0.297,0.297,match
trusted_basic_backsteps,Maxi,backstep_candidate,distance_f4,0.048,0.048,match
trusted_basic_backsteps,Maxi,backstep_candidate,distance_f8,0.066,0.066,match
