cid,character,movement_type,trust_status,src_slot,dst_slot,animation_hex,distance_f4,distance_f8,distance_f12,distance_f16,total_distance,earliest_return_or_guard_frame,earliest_attack_cancel_frame,earliest_stance_return_frame,earliest_unresolved_recovery_frame,recovery_trust_status,recovery_trust_confidence,target_character,target_bank_kind,route_resolution_status,trust_score,trust_reason,recovery_status,caveat
001,Mitsurugi,back_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
001,Mitsurugi,sidestep_up_candidate,unresolved,406,423,0316,0.041000001947395504,0.013000000617466867,0.0370000017574057,0.05400000256486237,,,,,,unknown_from_static_bytecode,unknown,Mitsurugi,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
002,Seong Mi-na,back_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
002,Seong Mi-na,backstep_candidate,unresolved,258,259,00FE,0.18400000873953104,0.452000021468848,0.7130000338656828,0.9180000436026603,,,,,,unknown_from_static_bytecode,unknown,Seong Mi-na,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
002,Seong Mi-na,forward_diagonal,unresolved,392,393,02EE,0.06113100976587872,0.11992081289801919,0.1621141650089871,0.33811981731376306,,,,,,unknown_from_static_bytecode,unknown,Seong Mi-na,local,resolved_local,148,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
002,Seong Mi-na,forward_step_candidate,unresolved,258,260,0006,0.08800000417977571,0.12400000588968396,0.1560000074096024,0.22500001068692654,,,,,,unknown_from_static_bytecode,unknown,Seong Mi-na,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
002,Seong Mi-na,sidestep_up_candidate,unresolved,383,384,002D,0.0,0.0,0.0,0.0,,,,,,unknown_from_static_bytecode,unknown,Seong Mi-na,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
003,Taki,backstep_candidate,unresolved,273,274,01AC,0.1110000052722171,0.25800001225434244,0.4150000197114423,0.6350000301608816,,,,,,unknown_from_static_bytecode,unknown,Taki,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
003,Taki,forward_step_candidate,unresolved,273,277,01B9,0.03300000156741589,0.10300000489223748,0.25800001225434244,0.44700002123136073,,,,,,unknown_from_static_bytecode,unknown,Taki,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
003,Taki,sidestep_up_candidate,unresolved,284,285,0210,0.0720000034198165,0.007000000332482159,0.09800000465475023,0.16300000774208456,,,,,,unknown_from_static_bytecode,unknown,Taki,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
004,Maxi,back_diagonal,unresolved,324,333,00F1,0.1540000073146075,0.2810000133467838,0.3990012720824068,0.5090039534343077,,,,,,unknown_from_static_bytecode,unknown,Maxi,local,resolved_local,148,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
004,Maxi,forward_diagonal,unresolved,344,345,009A,0.11400000541470945,0.1170000055572018,0.06400000303983688,0.10500000498723239,,,,,,unknown_from_static_bytecode,unknown,Maxi,local,resolved_local,148,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
004,Maxi,forward_step_candidate,unresolved,264,265,00FB,0.0,0.0,0.0,0.0,,,,,,unknown_from_static_bytecode,unknown,Maxi,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
004,Maxi,sidestep_up_candidate,unresolved,298,302,0064,0.00800000037997961,0.020000000949949026,0.08500000403728336,0.1870000088820234,,,,,,unknown_from_static_bytecode,unknown,Maxi,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
005,Voldo,backstep_candidate,unresolved,256,257,00F7,0.07300000346731395,0.24800001177936792,0.6130000291159377,1.110000052722171,,,,,,unknown_from_static_bytecode,unknown,Voldo,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
006,Sophitia,back_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
006,Sophitia,forward_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
007,Siegfried,back_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
007,Siegfried,forward_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
007,Siegfried,sidestep_up_candidate,unresolved,2941,520,0131,0.0,0.0,0.0,0.0,,,,,,unknown_from_static_bytecode,unknown,Siegfried,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
