cid,character,movement_type,trust_status,src_slot,dst_slot,animation_hex,distance_f4,distance_f8,distance_f12,distance_f16,total_distance,earliest_return_or_guard_frame,earliest_attack_cancel_frame,earliest_stance_return_frame,earliest_unresolved_recovery_frame,recovery_trust_status,recovery_trust_confidence,target_character,target_bank_kind,route_resolution_status,trust_score,trust_reason,recovery_status,caveat
001,Mitsurugi,back_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
001,Mitsurugi,backstep_candidate,trusted_basic,261,263,028F,0.027000001282431185,0.04800000227987766,0.12700000603217632,0.16700000793207437,0.18000000854954123,,,,,unknown_from_static_bytecode,unknown,Mitsurugi,local,resolved_local,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot,unknown_from_static_bytecode,
001,Mitsurugi,eight_way_or_ambiguous,trusted_basic,161,164,0204,0.47376156589745266,0.6400351856844965,0.7965651638603003,0.920091886943767,0.9720185645105169,,,,,unknown_from_static_bytecode,unknown,Mitsurugi,local,resolved_local,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot,unknown_from_static_bytecode,
001,Mitsurugi,forward_diagonal,trusted_basic,406,427,01A1,0.04767599202872887,0.15867262647251643,0.35707703946379743,0.6430560156645672,0.7501800140368194,,,,,unknown_from_static_bytecode,unknown,Mitsurugi,local,resolved_local,198,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot,unknown_from_static_bytecode,
001,Mitsurugi,forward_step_candidate,trusted_basic,363,366,01D5,0.04600000218488276,0.06000000284984708,0.042000001994892955,0.028000001329928637,0.27800001320429146,,,,,unknown_from_static_bytecode,unknown,Mitsurugi,local,resolved_local,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot,unknown_from_static_bytecode,
001,Mitsurugi,sidestep_down_candidate,trusted_basic,406,428,01AF,0.17200000816956162,0.1910000090720132,0.1970000093569979,0.19000000902451575,0.1970000093569979,,,,,unknown_from_static_bytecode,unknown,Mitsurugi,local,resolved_local,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot,unknown_from_static_bytecode,
001,Mitsurugi,sidestep_up_candidate,unresolved,406,423,0316,0.041000001947395504,0.013000000617466867,0.0370000017574057,0.05400000256486237,,,,,,unknown_from_static_bytecode,unknown,Mitsurugi,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
002,Seong Mi-na,back_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
002,Seong Mi-na,backstep_candidate,unresolved,258,259,00FE,0.18400000873953104,0.452000021468848,0.7130000338656828,0.9180000436026603,,,,,,unknown_from_static_bytecode,unknown,Seong Mi-na,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
002,Seong Mi-na,eight_way_or_ambiguous,trusted_basic,161,164,00F2,0.33400001586414874,0.5590000265510753,0.740000035148114,0.8720000414177775,0.9730000462150201,,,,,unknown_from_static_bytecode,unknown,Seong Mi-na,local,resolved_local,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot,unknown_from_static_bytecode,
