cid,character,movement_type,route_kind,quality_status,quality_score,quality_grade,distance_f4,distance_f8,distance_f12,distance_f16,total_distance,peak_distance,first_movement_frame,first_frame_8_units,first_frame_16_units,first_frame_30_units,earliest_guard_or_neutral_frame,earliest_attack_cancel_frame,recovery_trust_status,recovery_trust_confidence,plain_movement,has_attack_cell,root_decode_confidence,selection_reason,reason
001,Mitsurugi,back_diagonal,unresolved,unknown_no_static_route,,Unranked,,,,,,,,,,,,,unknown_from_static_bytecode,unknown,False,False,unknown,no direction-gated route found for this movement type,no direction-gated route found for this movement type
001,Mitsurugi,backstep_candidate,trusted_basic,rankable_static_distance,53.397,B,0.027000001282431185,0.04800000227987766,0.12700000603217632,0.16700000793207437,0.18000000854954123,0.18000000854954123,0,,,,,,unknown_from_static_bytecode,unknown,True,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
001,Mitsurugi,eight_way_or_ambiguous,trusted_basic,rankable_static_distance,62.38,B,0.47376156589745266,0.6400351856844965,0.7965651638603003,0.920091886943767,0.9720185645105169,0.9720185645105169,0,,,,,,unknown_from_static_bytecode,unknown,True,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate is directional but ambiguous; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate is directional but ambiguous; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
001,Mitsurugi,forward_diagonal,trusted_basic,rankable_static_distance,23.556,D,0.04767599202872887,0.15867262647251643,0.35707703946379743,0.6430560156645672,0.7501800140368194,0.7501800140368194,2,,,,,,unknown_from_static_bytecode,unknown,True,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to diagonal movement; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to diagonal movement; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
001,Mitsurugi,forward_step_candidate,trusted_basic,rankable_static_distance,40.167,C,0.04600000218488276,0.06000000284984708,0.042000001994892955,0.028000001329928637,0.27800001320429146,0.27800001320429146,1,,,,,,unknown_from_static_bytecode,unknown,True,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
001,Mitsurugi,sidestep_down_candidate,trusted_basic,rankable_static_distance,86.474,S,0.17200000816956162,0.1910000090720132,0.1970000093569979,0.19000000902451575,0.1970000093569979,0.1970000093569979,0,,,,,,unknown_from_static_bytecode,unknown,True,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
001,Mitsurugi,sidestep_up_candidate,unresolved,unranked,,Unranked,0.041000001947395504,0.013000000617466867,0.0370000017574057,0.05400000256486237,,,1,,,,,,unknown_from_static_bytecode,unknown,False,True,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; offensive cells exist and no static return/recovery frame is known; unranked unless route is trusted basic movement and root motion is decoded with high confidence
002,Seong Mi-na,back_diagonal,unresolved,unknown_no_static_route,,Unranked,,,,,,,,,,,,,unknown_from_static_bytecode,unknown,False,False,unknown,no direction-gated route found for this movement type,no direction-gated route found for this movement type
002,Seong Mi-na,backstep_candidate,unresolved,unranked,,Unranked,0.18400000873953104,0.452000021468848,0.7130000338656828,0.9180000436026603,,,1,,,,,,unknown_from_static_bytecode,unknown,False,True,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; offensive cells exist and no static return/recovery frame is known; unranked unless route is trusted basic movement and root motion is decoded with high confidence
002,Seong Mi-na,eight_way_or_ambiguous,trusted_basic,rankable_static_distance,54.14,B,0.33400001586414874,0.5590000265510753,0.740000035148114,0.8720000414177775,0.9730000462150201,0.9730000462150201,0,,,,,,unknown_from_static_bytecode,unknown,True,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate is directional but ambiguous; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate is directional but ambiguous; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
